trip_id,pickup_ts,dropoff_ts,vendor_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,pickup_borough,dropoff_borough,payment_type,load_ts
T00000049,2024-02-11 23:14:00,2024-02-11 23:33:00,V003,1,7.04,24.43,5.92,31.11,Brooklyn,Queens,Card,2024-02-13 14:31:00
T00000050,2024-06-27 11:54:00,2024-06-27 12:10:00,V003,1,2.90,14.83,1.33,16.31,Manhattan,Staten Island,Card,2024-06-30 07:31:00
T00000051,2024-01-19 16:12:00,2024-01-19 16:17:00,V002,2,3.48,10.56,0.35,13.17,Brooklyn,Manhattan,Cash,2024-01-19 23:56:00
T00000052,2024-01-28 14:54:00,2024-01-28 15:17:00,V003,4,1.09,12.82,2.71,17.23,Queens,Brooklyn,Card,2024-01-31 04:03:00
T00000053,2024-02-24 03:09:00,2024-02-24 04:07:00,V001,2,5.04,33.49,4.23,39.54,Manhattan,Manhattan,Card,2024-02-24 14:41:00
T00000054,2024-01-29 11:54:00,2024-01-29 11:58:00,V002,2,3.71,11.44,3.08,14.72,Manhattan,Manhattan,Card,2024-01-30 15:18:00
T00000055,2024-03-18 09:27:00,2024-03-18 09:45:00,V002,2,13.74,36.33,5.37,43.76,Brooklyn,Manhattan,Card,2024-03-19 03:03:00
T00000056,2024-03-26 07:46:00,2024-03-26 08:28:00,V003,4,3.96,23.50,4.11,28.50,Manhattan,Manhattan,Card,2024-03-26 11:37:00
T00000057,2024-05-19 05:17:00,2024-05-19 05:55:00,V002,3,1.71,18.58,5.56,25.34,Queens,Staten Island,Card,2024-05-21 22:25:00
T00000058,2024-03-04 08:15:00,2024-03-04 09:11:00,V001,2,6.17,35.21,1.36,37.82,Manhattan,Brooklyn,Cash,2024-03-06 16:42:00
T00000059,2024-06-06 10:51:00,2024-06-06 12:00:00,V003,1,0.84,27.21,4.82,32.17,Manhattan,Manhattan,Card,2024-06-08 03:39:00
T00000060,2024-03-20 18:09:00,2024-03-20 19:15:00,V001,5,5.03,33.66,6.78,40.70,Staten Island,Bronx,Card,2024-03-23 10:35:00
T00000061,2024-06-21 09:46:00,2024-06-21 10:05:00,V002,1,6.36,22.38,4.04,26.82,Manhattan,Queens,Card,2024-06-22 05:03:00
T00000062,2024-06-06 06:59:00,2024-06-06 07:11:00,V001,3,3.29,13.77,0.27,14.86,Brooklyn,Staten Island,Cash,2024-06-09 02:22:00
T00000063,2024-06-06 12:22:00,2024-06-06 12:45:00,V002,2,2.71,15.68,0.95,19.33,Manhattan,Brooklyn,Cash,2024-06-08 21:10:00
T00000064,2024-01-08 22:41:00,2024-01-08 23:25:00,V003,2,8.74,35.93,2.47,39.76,Manhattan,Brooklyn,Cash,2024-01-10 21:04:00
T00000065,2024-06-07 07:46:00,2024-06-07 08:02:00,V004,1,4.19,17.59,3.94,21.95,Brooklyn,Staten Island,Card,2024-06-09 06:35:00
T00000066,2024-04-23 11:03:00,2024-04-23 11:57:00,V002,3,10.25,41.45,9.87,53.41,Bronx,Manhattan,Card,2024-04-23 21:37:00
T00000067,2024-02-12 17:43:00,2024-02-12 18:23:00,V004,2,3.43,23.40,0.73,26.04,Bronx,Manhattan,Cash,2024-02-13 02:22:00
T00000068,2024-02-23 09:44:00,2024-02-23 10:33:00,V002,1,4.24,28.46,2.77,33.62,Queens,Manhattan,Card,2024-02-24 06:25:00
T00000069,2024-02-12 06:26:00,2024-02-12 07:29:00,V002,2,5.77,35.17,7.04,42.41,Bronx,Staten Island,Card,2024-02-14 00:39:00
T00000070,2024-04-26 07:33:00,2024-04-26 08:31:00,V003,2,2.51,27.89,4.57,33.45,Manhattan,Queens,Card,2024-04-26 11:50:00
T00000071,2024-06-27 00:42:00,2024-06-27 01:36:00,V001,2,6.05,31.63,5.99,40.11,Manhattan,Queens,Card,2024-06-29 02:02:00
T00000072,2024-02-09 20:50:00,2024-02-09 21:18:00,V002,2,6.63,26.90,7.50,36.18,Manhattan,Brooklyn,Card,2024-02-11 23:26:00
T00000073,2024-05-13 07:43:00,2024-05-13 08:03:00,V001,1,7.13,23.27,6.84,31.57,Bronx,Bronx,Card,2024-05-14 19:28:00
T00000074,2024-06-15 09:32:00,2024-06-15 10:37:00,V004,1,11.12,47.06,11.57,59.25,Queens,Queens,Card,2024-06-17 17:12:00
T00000075,2024-06-25 02:03:00,2024-06-25 03:18:00,V002,3,0.39,27.68,6.31,35.60,Queens,Staten Island,Card,2024-06-25 18:25:00
T00000076,2024-05-02 20:24:00,2024-05-02 20:57:00,V002,2,5.05,24.57,5.76,32.12,Manhattan,Manhattan,Card,2024-05-03 02:21:00
T00000077,2024-02-25 09:47:00,2024-02-25 10:54:00,V001,1,4.30,33.08,1.61,36.18,Brooklyn,Queens,Cash,2024-02-27 19:52:00
T00000078,2024-04-29 05:23:00,2024-04-29 05:39:00,V003,2,6.12,20.81,3.33,26.84,Brooklyn,Bronx,Card,2024-05-01 06:57:00
T00000079,2024-01-12 00:32:00,2024-01-12 01:26:00,V001,5,1.14,23.09,0.14,24.15,Staten Island,Queens,Other,2024-01-13 05:47:00
T00000080,2024-01-13 11:45:00,2024-01-13 12:59:00,V001,1,1.53,28.40,0.29,29.05,Manhattan,Manhattan,Cash,2024-01-13 16:50:00
T00000081,2024-01-24 23:51:00,2024-01-24 23:56:00,V002,3,4.81,14.00,2.42,16.73,Manhattan,Brooklyn,Card,2024-01-27 01:41:00
T00000082,2024-04-03 10:22:00,2024-04-03 10:39:00,V002,1,5.11,20.40,2.99,25.16,Manhattan,Staten Island,Card,2024-04-05 17:49:00
T00000083,2024-03-18 14:25:00,2024-03-18 14:42:00,V002,4,1.00,10.86,1.53,14.13,Brooklyn,Brooklyn,Card,2024-03-20 07:17:00
T00000084,2024-03-23 14:18:00,2024-03-23 15:26:00,V002,1,6.30,38.44,1.94,40.97,Brooklyn,Manhattan,Cash,2024-03-25 14:02:00
T00000085,2024-05-30 15:02:00,2024-05-30 16:04:00,V002,2,2.58,27.52,1.32,30.14,Manhattan,Manhattan,Cash,2024-06-02 03:21:00
T00000086,2024-01-18 13:53:00,2024-01-18 14:44:00,V003,2,4.79,28.87,4.56,35.26,Queens,Bronx,Card,2024-01-18 22:05:00
T00000087,2024-06-25 06:59:00,2024-06-25 07:39:00,V002,1,4.70,26.14,2.71,31.17,Brooklyn,Queens,Card,2024-06-26 14:51:00
T00000088,2024-05-26 22:48:00,2024-05-26 23:46:00,V003,5,8.96,40.80,11.60,54.68,Manhattan,Manhattan,Card,2024-05-28 18:17:00
T00000089,2024-06-16 18:15:00,2024-06-16 19:02:00,V002,1,1.50,19.90,1.35,21.50,Brooklyn,Brooklyn,Cash,2024-06-19 09:18:00
T00000090,2024-03-03 01:23:00,2024-03-03 01:47:00,V002,2,7.79,25.79,2.96,30.45,Queens,Manhattan,Card,2024-03-05 12:00:00
T00000091,2024-03-29 09:53:00,2024-03-29 10:53:00,V002,1,4.07,29.58,6.23,37.26,Manhattan,Manhattan,Card,2024-03-29 18:41:00
T00000092,2024-01-02 09:35:00,2024-01-02 10:05:00,V001,1,1.46,15.15,3.70,19.33,Brooklyn,Queens,Card,2024-01-05 06:43:00
T00000093,2024-04-11 17:06:00,2024-04-11 17:55:00,V001,3,15.02,50.45,11.91,63.51,Manhattan,Manhattan,Card,2024-04-13 14:35:00
T00000094,2024-02-01 06:55:00,2024-02-01 07:57:00,V003,4,1.12,24.42,4.77,30.28,Manhattan,Brooklyn,Card,2024-02-03 05:45:00
T00000095,2024-05-21 20:01:00,2024-05-21 20:26:00,V001,2,4.23,20.71,6.02,28.50,Manhattan,Manhattan,Card,2024-05-23 07:42:00
T00000096,2024-02-05 21:53:00,2024-02-05 22:19:00,V002,3,5.61,23.92,5.88,31.89,Brooklyn,Bronx,Card,2024-02-07 18:46:00
T00000097,2024-06-06 07:57:00,2024-06-06 08:41:00,V001,1,3.49,23.73,4.55,29.13,Brooklyn,Manhattan,Card,2024-06-08 00:12:00
T00000098,2024-01-14 23:14:00,2024-01-14 23:29:00,V002,2,3.65,16.34,0.51,19.08,Queens,Brooklyn,Cash,2024-01-17 16:45:00
T00000099,2024-04-01 06:30:00,2024-04-01 06:53:00,V004,2,8.72,30.12,6.69,36.92,Queens,Staten Island,Card,2024-04-04 06:46:00
T00000100,2024-04-05 03:55:00,2024-04-05 04:19:00,V002,4,3.09,17.71,3.87,22.50,Manhattan,Brooklyn,Card,2024-04-07 09:25:00
T00000101,2024-02-21 17:27:00,2024-02-21 18:03:00,V003,2,13.56,42.50,4.72,48.18,Staten Island,Queens,Card,2024-02-23 23:53:00
T00000102,2024-01-24 11:23:00,2024-01-24 11:37:00,V001,1,8.17,25.15,1.30,28.33,Brooklyn,Queens,Cash,2024-01-26 21:45:00
T00000103,2024-04-02 13:37:00,2024-04-02 14:27:00,V001,1,2.47,24.21,5.87,31.53,Queens,Bronx,Card,2024-04-03 08:40:00
T00000104,2024-04-18 17:24:00,2024-04-18 18:16:00,V001,1,6.16,33.78,0.10,34.88,Queens,Staten Island,Cash,2024-04-20 09:30:00
T00000105,2024-05-16 23:14:00,2024-05-17 00:15:00,V001,1,5.93,34.79,1.89,38.06,Brooklyn,Manhattan,Cash,2024-05-18 03:50:00
T00000106,2024-05-25 20:45:00,2024-05-25 21:06:00,V004,1,3.80,19.00,3.68,23.02,Manhattan,Manhattan,Card,2024-05-28 10:46:00
T00000107,2024-06-13 19:20:00,2024-06-13 20:29:00,V001,1,3.56,31.14,5.93,37.72,Staten Island,Brooklyn,Card,2024-06-14 00:39:00
T00000108,2024-02-28 00:21:00,2024-02-28 00:37:00,V003,2,2.42,13.79,3.24,18.26,Manhattan,Manhattan,Card,2024-02-29 11:53:00
T00000109,2024-02-09 06:12:00,2024-02-09 06:35:00,V002,2,4.21,18.57,1.68,21.40,Queens,Brooklyn,Card,2024-02-09 22:03:00
T00000110,2024-06-01 07:32:00,2024-06-01 08:39:00,V002,1,4.09,31.96,6.88,39.50,Brooklyn,Queens,Card,2024-06-01 20:40:00
T00000111,2024-04-05 07:08:00,2024-04-05 07:58:00,V001,2,4.02,27.60,5.06,34.41,Staten Island,Manhattan,Card,2024-04-05 10:31:00
T00000112,2024-03-06 00:10:00,2024-03-06 00:22:00,V001,2,5.26,18.59,1.67,21.76,Queens,Manhattan,Card,2024-03-08 16:08:00
T00000113,2024-06-27 13:15:00,2024-06-27 14:20:00,V002,3,0.92,25.61,2.30,28.46,Manhattan,Bronx,Card,2024-06-30 13:02:00
T00000114,2024-03-13 11:52:00,2024-03-13 13:05:00,V002,1,5.50,39.00,8.75,48.50,Queens,Brooklyn,Card,2024-03-15 20:01:00
T00000115,2024-05-15 07:33:00,2024-05-15 08:33:00,V004,1,3.94,30.53,1.55,32.30,Brooklyn,Bronx,Cash,2024-05-17 00:59:00
T00000116,2024-02-28 11:23:00,2024-02-28 11:40:00,V001,2,2.54,13.55,2.13,15.80,Bronx,Brooklyn,Card,2024-03-01 23:23:00
T00000117,2024-02-19 23:33:00,2024-02-19 23:44:00,V001,2,2.92,13.19,0.13,14.99,Queens,Manhattan,Cash,2024-02-20 09:14:00
T00000118,2024-02-12 23:04:00,2024-02-12 23:54:00,V002,4,0.63,20.17,3.58,23.96,Manhattan,Brooklyn,Card,2024-02-14 19:09:00
T00000119,2024-04-28 05:58:00,2024-04-28 06:37:00,V001,1,6.90,29.63,4.08,34.43,Brooklyn,Staten Island,Card,2024-04-29 21:56:00
T00000120,2024-05-06 08:02:00,2024-05-06 09:08:00,V001,1,1.01,26.88,2.61,32.15,Staten Island,Queens,Other,2024-05-06 18:19:00
T00000121,2024-04-10 02:58:00,2024-04-10 04:11:00,V001,1,1.59,30.30,4.83,35.75,Staten Island,Queens,Card,2024-04-11 12:50:00
T00000122,2024-05-23 21:11:00,2024-05-23 22:18:00,V001,2,2.96,30.81,3.05,34.71,Staten Island,Queens,Card,2024-05-26 06:43:00
T00000123,2024-05-20 00:31:00,2024-05-20 01:27:00,V003,1,3.55,27.91,1.52,31.19,Manhattan,Staten Island,Cash,2024-05-22 12:51:00
T00000124,2024-04-01 13:02:00,2024-04-01 13:13:00,V003,2,2.53,13.14,3.79,18.36,Manhattan,Manhattan,Card,2024-04-02 16:21:00
T00000125,2024-04-25 14:36:00,2024-04-25 15:50:00,V001,2,5.10,37.81,7.85,46.13,Queens,Bronx,Card,2024-04-27 14:15:00
T00000126,2024-06-02 09:04:00,2024-06-02 09:13:00,V003,1,0.76,7.71,1.92,10.78,Queens,Brooklyn,Card,2024-06-04 01:05:00
T00000127,2024-04-26 20:32:00,2024-04-26 21:14:00,V002,3,6.03,27.82,4.92,34.07,Manhattan,Queens,Card,2024-04-28 16:14:00
T00000128,2024-06-05 19:53:00,2024-06-05 20:37:00,V003,3,2.97,22.77,3.16,26.61,Manhattan,Manhattan,Card,2024-06-08 01:23:00
T00000129,2024-06-06 07:35:00,2024-06-06 08:32:00,V001,3,1.61,24.85,6.16,32.38,Brooklyn,Brooklyn,Card,2024-06-08 02:59:00
T00000130,2024-03-31 13:02:00,2024-03-31 13:08:00,V001,1,3.61,12.75,1.81,16.20,Bronx,Queens,Card,2024-04-02 04:28:00
T00000131,2024-04-07 16:50:00,2024-04-07 16:55:00,V003,1,11.82,30.21,5.08,36.86,Manhattan,Brooklyn,Card,2024-04-08 03:17:00
T00000132,2024-03-11 07:59:00,2024-03-11 09:07:00,V002,2,9.19,44.39,4.50,49.92,Staten Island,Brooklyn,Card,2024-03-13 11:22:00
T00000133,2024-05-17 10:29:00,2024-05-17 10:51:00,V001,2,3.96,17.27,3.18,21.71,Brooklyn,Brooklyn,Card,2024-05-19 07:57:00
T00000134,2024-06-18 13:12:00,2024-06-18 13:56:00,V001,6,6.97,31.23,1.16,34.34,Manhattan,Queens,Cash,2024-06-20 16:33:00
T00000135,2024-03-01 07:12:00,2024-03-01 07:30:00,V004,2,8.31,26.78,4.94,34.38,Queens,Queens,Card,2024-03-02 14:54:00
T00000136,2024-05-11 07:50:00,2024-05-11 08:00:00,V002,1,5.27,18.29,4.20,22.58,Bronx,Manhattan,Card,2024-05-11 10:55:00
T00000137,2024-03-21 06:55:00,2024-03-21 07:39:00,V002,1,1.89,21.38,5.70,29.08,Queens,Brooklyn,Card,2024-03-23 04:21:00
T00000138,2024-04-30 13:18:00,2024-04-30 14:23:00,V002,1,1.70,26.90,6.72,35.60,Queens,Queens,Card,2024-05-03 08:49:00
T00000139,2024-02-05 00:00:00,2024-02-05 00:35:00,V001,1,17.87,52.54,12.18,66.06,Brooklyn,Brooklyn,Card,2024-02-06 14:15:00
T00000140,2024-02-22 09:22:00,2024-02-22 09:41:00,V002,2,2.80,13.90,4.03,18.15,Bronx,Queens,Card,2024-02-25 03:25:00
T00000141,2024-02-08 22:55:00,2024-02-08 23:24:00,V003,1,4.53,20.62,0.35,21.11,Bronx,Manhattan,Cash,2024-02-10 07:31:00
T00000142,2024-01-10 13:20:00,2024-01-10 13:36:00,V002,2,1.21,9.18,2.61,12.91,Bronx,Bronx,Card,2024-01-13 07:07:00
T00000143,2024-04-28 10:14:00,2024-04-28 10:43:00,V003,1,2.41,18.15,2.38,22.56,Bronx,Manhattan,Card,2024-04-29 10:57:00
T00000144,2024-03-17 01:46:00,2024-03-17 02:12:00,V004,1,9.59,30.52,1.86,33.18,Manhattan,Manhattan,Cash,2024-03-17 17:11:00
T00000145,2024-06-18 00:28:00,2024-06-18 01:14:00,V001,6,4.35,28.17,0.92,29.62,Manhattan,Manhattan,Cash,2024-06-20 16:13:00
T00000146,2024-04-28 00:24:00,2024-04-28 01:00:00,V003,1,2.74,20.80,4.46,27.02,Brooklyn,Brooklyn,Card,2024-04-29 22:06:00
T00000147,2024-01-16 18:57:00,2024-01-16 19:52:00,V003,1,1.48,22.95,3.03,28.05,Staten Island,Manhattan,Card,2024-01-16 21:45:00
T00000148,2024-02-17 14:44:00,2024-02-17 15:34:00,V003,1,1.33,21.51,5.96,29.40,Manhattan,Manhattan,Card,2024-02-19 08:10:00
T00000149,2024-03-07 21:49:00,2024-03-07 22:21:00,V001,1,1.57,16.85,3.38,21.52,Brooklyn,Queens,Card,2024-03-09 04:30:00
T00000150,2024-05-18 16:36:00,2024-05-18 17:11:00,V003,2,8.05,31.19,8.79,40.29,Queens,Bronx,Card,2024-05-19 21:07:00
T00000151,2024-04-14 06:10:00,2024-04-14 07:22:00,V001,1,4.14,33.85,3.39,38.64,Queens,Brooklyn,Card,2024-04-17 05:46:00
T00000152,2024-03-16 15:01:00,2024-03-16 16:03:00,V002,2,5.85,33.69,2.72,37.01,Manhattan,Brooklyn,Card,2024-03-17 01:05:00
T00000153,2024-04-08 12:22:00,2024-04-08 12:33:00,V004,1,3.24,14.12,1.09,16.37,Staten Island,Brooklyn,Other,2024-04-10 16:25:00
T00000154,2024-03-09 09:13:00,2024-03-09 09:27:00,V003,2,4.31,16.07,3.19,20.71,Queens,Manhattan,Card,2024-03-09 10:15:00
T00000155,2024-05-17 15:47:00,2024-05-17 15:53:00,V004,2,6.59,18.40,3.34,22.17,Manhattan,Bronx,Card,2024-05-18 07:37:00
T00000156,2024-01-06 20:45:00,2024-01-06 21:42:00,V002,4,0.95,23.07,6.27,30.01,Manhattan,Brooklyn,Card,2024-01-08 03:41:00
T00000157,2024-05-17 07:57:00,2024-05-17 08:08:00,V001,6,2.08,11.12,2.78,16.15,Manhattan,Bronx,Card,2024-05-20 07:38:00
T00000158,2024-02-10 05:45:00,2024-02-10 06:41:00,V001,1,3.38,29.43,1.38,32.97,Manhattan,Brooklyn,Cash,2024-02-11 03:23:00
T00000159,2024-02-24 14:13:00,2024-02-24 15:05:00,V001,2,2.13,25.19,4.58,29.93,Brooklyn,Brooklyn,Card,2024-02-25 09:43:00
T00000160,2024-03-11 17:01:00,2024-03-11 17:36:00,V001,1,1.05,16.02,4.20,20.36,Brooklyn,Queens,Card,2024-03-11 23:19:00
T00000161,2024-06-08 00:54:00,2024-06-08 01:07:00,V001,3,6.69,21.15,0.49,24.27,Manhattan,Bronx,Cash,2024-06-08 17:28:00
T00000162,2024-05-15 23:09:00,2024-05-16 00:14:00,V004,2,6.33,36.31,5.17,42.76,Queens,Manhattan,Card,2024-05-18 01:40:00
T00000163,2024-04-03 08:31:00,2024-04-03 09:38:00,V002,3,6.65,37.87,5.64,43.64,Bronx,Queens,Card,2024-04-03 12:10:00
T00000164,2024-02-17 11:20:00,2024-02-17 12:34:00,V004,2,3.31,33.12,8.72,43.21,Queens,Queens,Card,2024-02-19 00:02:00
T00000165,2024-05-18 23:10:00,2024-05-19 00:16:00,V004,2,3.88,33.15,7.91,42.40,Bronx,Brooklyn,Card,2024-05-19 08:37:00
T00000166,2024-04-05 09:08:00,2024-04-05 09:16:00,V003,1,5.29,15.62,2.82,18.61,Queens,Bronx,Card,2024-04-08 03:34:00
T00000167,2024-04-30 00:27:00,2024-04-30 01:33:00,V001,2,3.26,31.63,4.53,37.54,Queens,Brooklyn,Card,2024-05-01 02:21:00
T00000168,2024-01-20 11:33:00,2024-01-20 11:49:00,V002,1,5.16,18.52,0.10,21.26,Brooklyn,Manhattan,Cash,2024-01-21 18:59:00
T00000169,2024-02-24 14:36:00,2024-02-24 14:50:00,V003,3,3.03,12.51,1.47,15.35,Brooklyn,Queens,Card,2024-02-25 04:11:00
T00000170,2024-06-11 21:24:00,2024-06-11 22:35:00,V004,1,4.58,36.61,5.19,43.29,Queens,Manhattan,Card,2024-06-13 17:51:00
T00000171,2024-01-03 20:24:00,2024-01-03 20:54:00,V002,3,6.48,24.94,3.31,30.55,Brooklyn,Bronx,Card,2024-01-05 18:31:00
T00000172,2024-03-10 21:02:00,2024-03-10 21:23:00,V003,2,1.04,11.44,1.50,13.15,Brooklyn,Queens,Card,2024-03-13 03:52:00
T00000173,2024-06-25 09:16:00,2024-06-25 10:01:00,V001,1,2.87,23.22,5.23,28.69,Queens,Queens,Card,2024-06-25 20:23:00
